hazard_type,year,families_affected,persons_affected,avg_persons_per_family,persons_yoy_change,had_impact
African Swine Fever,2015,0,0,,0,False
African Swine Fever,2016,0,0,,0,False
African Swine Fever,2017,0,0,,0,False
African Swine Fever,2018,0,0,,0,False
African Swine Fever,2019,0,0,,0,False
African Swine Fever,2020,0,0,,0,False
African Swine Fever,2021,0,0,,0,False
African Swine Fever,2022,0,0,,0,False
African Swine Fever,2023,0,0,,0,False
Bird Strikes,2015,0,0,,0,False
Bird Strikes,2016,0,0,,0,False
Bird Strikes,2017,0,0,,0,False
Bird Strikes,2018,0,0,,0,False
Bird Strikes,2019,0,0,,0,False
Bird Strikes,2020,0,0,,0,False
Bird Strikes,2021,0,0,,0,False
Bird Strikes,2022,0,0,,0,False
Bird Strikes,2023,0,0,,0,False
Coastal Erosion,2015,0,0,,0,False
Coastal Erosion,2016,0,0,,0,False
Coastal Erosion,2017,0,0,,0,False
Coastal Erosion,2018,0,0,,0,False
Coastal Erosion,2019,0,0,,0,False
Coastal Erosion,2020,0,0,,0,False
Coastal Erosion,2021,0,0,,0,False
Coastal Erosion,2022,0,0,,0,False
Coastal Erosion,2023,0,0,,0,False
Collapsed Soil,2015,0,0,,0,False
Collapsed Soil,2016,0,0,,0,False
Collapsed Soil,2017,0,0,,0,False
Collapsed Soil,2018,0,0,,0,False
Collapsed Soil,2019,0,0,,0,False
Collapsed Soil,2020,0,0,,0,False
Collapsed Soil,2021,0,0,,0,False
Collapsed Soil,2022,0,0,,0,False
Collapsed Soil,2023,0,0,,0,False
Disease/Epidemic Outbreak,2015,0,0,,0,False
Disease/Epidemic Outbreak,2016,0,0,,0,False
Disease/Epidemic Outbreak,2017,0,0,,0,False
Disease/Epidemic Outbreak,2018,0,0,,0,False
Disease/Epidemic Outbreak,2019,0,0,,0,False
Disease/Epidemic Outbreak,2020,0,0,,0,False
Disease/Epidemic Outbreak,2021,0,0,,0,False
Disease/Epidemic Outbreak,2022,0,0,,0,False
Disease/Epidemic Outbreak,2023,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2015,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2016,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2017,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2018,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2019,500581,2432804,4.86,2432804,True
Drought/ El Niño Phenomenon/ Dry Spell,2020,0,0,,-2432804,False
Drought/ El Niño Phenomenon/ Dry Spell,2021,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2022,0,0,,0,False
Drought/ El Niño Phenomenon/ Dry Spell,2023,0,0,,0,False
Earthquake,2015,0,0,,0,False
Earthquake,2016,0,0,,0,False
Earthquake,2017,23552,108647,4.61,108647,True
Earthquake,2018,0,0,,-108647,False
Earthquake,2019,172738,813264,4.71,813264,True
Earthquake,2020,1524,6474,4.25,-806790,True
Earthquake,2021,50,183,3.66,-6291,True
Earthquake,2022,191709,694085,3.62,693902,True
Earthquake,2023,238407,957869,4.02,263784,True
Easterlies,2015,0,0,,0,False
Easterlies,2016,0,0,,0,False
Easterlies,2017,0,0,,0,False
Easterlies,2018,0,0,,0,False
Easterlies,2019,0,0,,0,False
Easterlies,2020,0,0,,0,False
Easterlies,2021,0,0,,0,False
Easterlies,2022,0,0,,0,False
Easterlies,2023,0,0,,0,False
Easterlies and ITCZ,2015,0,0,,0,False
Easterlies and ITCZ,2016,0,0,,0,False
Easterlies and ITCZ,2017,0,0,,0,False
Easterlies and ITCZ,2018,0,0,,0,False
Easterlies and ITCZ,2019,0,0,,0,False
Easterlies and ITCZ,2020,0,0,,0,False
Easterlies and ITCZ,2021,0,0,,0,False
Easterlies and ITCZ,2022,0,0,,0,False
Easterlies and ITCZ,2023,0,0,,0,False
Fish Kill,2015,0,0,,0,False
Fish Kill,2016,0,0,,0,False
Fish Kill,2017,0,0,,0,False
Fish Kill,2018,0,0,,0,False
Fish Kill,2019,0,0,,0,False
Fish Kill,2020,0,0,,0,False
Fish Kill,2021,0,0,,0,False
Fish Kill,2022,0,0,,0,False
Fish Kill,2023,0,0,,0,False
Flashfloods/Flooding,2015,0,0,,0,False
Flashfloods/Flooding,2016,0,0,,0,False
Flashfloods/Flooding,2017,0,0,,0,False
Flashfloods/Flooding,2018,0,0,,0,False
Flashfloods/Flooding,2019,240,610,2.54,610,True
Flashfloods/Flooding,2020,0,0,,-610,False
Flashfloods/Flooding,2021,0,0,,0,False
Flashfloods/Flooding,2022,0,0,,0,False
Flashfloods/Flooding,2023,0,0,,0,False
Formation of Tension Cracks,2015,0,0,,0,False
Formation of Tension Cracks,2016,0,0,,0,False
Formation of Tension Cracks,2017,0,0,,0,False
Formation of Tension Cracks,2018,0,0,,0,False
Formation of Tension Cracks,2019,0,0,,0,False
Formation of Tension Cracks,2020,0,0,,0,False
Formation of Tension Cracks,2021,0,0,,0,False
Formation of Tension Cracks,2022,0,0,,0,False
Formation of Tension Cracks,2023,0,0,,0,False
Hailstorm,2015,0,0,,0,False
Hailstorm,2016,0,0,,0,False
Hailstorm,2017,0,0,,0,False
Hailstorm,2018,0,0,,0,False
Hailstorm,2019,0,0,,0,False
Hailstorm,2020,0,0,,0,False
Hailstorm,2021,0,0,,0,False
Hailstorm,2022,0,0,,0,False
Hailstorm,2023,0,0,,0,False
Heat Exhaustion,2015,0,0,,0,False
Heat Exhaustion,2016,0,0,,0,False
Heat Exhaustion,2017,0,0,,0,False
Heat Exhaustion,2018,0,0,,0,False
Heat Exhaustion,2019,0,0,,0,False
Heat Exhaustion,2020,0,0,,0,False
Heat Exhaustion,2021,0,0,,0,False
Heat Exhaustion,2022,0,0,,0,False
Heat Exhaustion,2023,0,0,,0,False
Hurricane,2015,0,0,,0,False
Hurricane,2016,0,0,,0,False
Hurricane,2017,0,0,,0,False
Hurricane,2018,0,0,,0,False
Hurricane,2019,0,0,,0,False
Hurricane,2020,0,0,,0,False
Hurricane,2021,0,0,,0,False
Hurricane,2022,0,0,,0,False
Hurricane,2023,0,0,,0,False
ITCZ and SWM / Localized Thunderstorm,2015,0,0,,0,False
ITCZ and SWM / Localized Thunderstorm,2016,0,0,,0,False
ITCZ and SWM / Localized Thunderstorm,2017,0,0,,0,False
ITCZ and SWM / Localized Thunderstorm,2018,0,0,,0,False
ITCZ and SWM / Localized Thunderstorm,2019,0,0,,0,False
