hazard_type,2015_Families,2015_Persons,2016_Families,2016_Persons,2017_Families,2017_Persons,2018_Families,2018_Persons,2019_Families,2019_Persons,2020_Families,2020_Persons,2021_Families,2021_Persons,2022_Families,2022_Persons,2023_Families,2023_Persons
African Swine Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bird Strikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disease/Epidemic Outbreak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish Kill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pest Infestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drought/ El Niño Phenomenon/ Dry Spell,0,0,0,0,0,0,0,0,500581,2432804,0,0,0,0,0,0,0,0
Heat Exhaustion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wildfire/Bushfire/Forest Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal Erosion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collapsed Soil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earthquake,0,0,0,0,23552,108647,0,0,172738,813264,1524,6474,50,183,191709,694085,238407,957869
Formation of Tension Cracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Mass Displacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landslides,0,0,0,0,0,0,1972,8252,0,0,0,0,0,0,0,0,0,0
Liquefaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockslide/ Rock Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinkhole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volcanic Activity/ Volcanic Smog,0,0,0,0,0,0,23705,90742,0,0,103358,417230,6262,22433,3300,11403,9876,38396
Flashfloods/Flooding,0,0,0,0,0,0,0,0,240,610,0,0,0,0,0,0,0,0
Sea Swelling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storm Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wave Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easterlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hurricane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Tropical Convergence Zone (ITCZ),0,0,0,0,4710,23520,0,0,0,0,0,0,0,0,0,0,0,0
Lightning/Thunderstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low Pressure Area (LPA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73653,273577
Moonsoon Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moonsoon Trough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast Monsoon,0,0,0,0,18552,72607,0,0,0,0,0,0,0,0,0,0,0,0
Rain,0,0,0,0,92647,454934,0,0,0,0,0,0,0,0,0,0,0,0
Shearline,0,0,0,0,47150,182023,0,0,19486,93862,0,0,0,0,185826,743956,0,0
Southwest Monsoon (SWM),0,0,281185,1285150,0,0,0,0,50183,210090,0,0,312605,1222241,0,0,0,0
Tail-End of a Frontal System (TEFS),0,0,0,0,0,0,0,0,0,0,18075,85660,0,0,0,0,0,0
Tornado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropical Cyclones,1174159,5096031,1289706,5752708,682535,3013193,2463822,10170749,1749197,7273934,2213402,9017941,3535372,12765120,2658801,10251149,1940983,7493199
Trough of LPA,0,0,0,0,0,0,0,0,3383,10996,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easterlies and ITCZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITCZ and SWM / Localized Thunderstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITCZ, SWM, and LPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA and ITCZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA and Shearline,0,0,0,0,219624,1005073,39210,179550,0,0,0,0,0,0,0,0,285690,1157487
LPA and SWM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPA, Northeast Monsoon, and Shearline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519781,2143347
Maritime Incident (due to natural causes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWM and Localized Thunderstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEFS and Northeast Monsoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trough of LPA and Easterlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
