hazard_type,total_persons,max_year_persons,years_with_impact
Tropical Cyclones,70834024,12765120,9
Southwest Monsoon (SWM),2717481,1285150,3
Earthquake,2580522,957869,6
Drought/ El Niño Phenomenon/ Dry Spell,2432804,2432804,1
LPA and Shearline,2342110,1157487,3
"LPA, Northeast Monsoon, and Shearline",2143347,2143347,1
Shearline,1019841,743956,3
Volcanic Activity/ Volcanic Smog,580204,417230,5
Rain,454934,454934,1
Low Pressure Area (LPA),273577,273577,1
Tail-End of a Frontal System (TEFS),85660,85660,1
Northeast Monsoon,72607,72607,1
Inter Tropical Convergence Zone (ITCZ),23520,23520,1
Trough of LPA,10996,10996,1
Landslides,8252,8252,1
Flashfloods/Flooding,610,610,1
Coastal Erosion,0,0,0
African Swine Fever,0,0,0
Bird Strikes,0,0,0
LPA and ITCZ,0,0,0
"ITCZ, SWM, and LPA",0,0,0
ITCZ and SWM / Localized Thunderstorm,0,0,0
Hurricane,0,0,0
Hailstorm,0,0,0
Heat Exhaustion,0,0,0
Formation of Tension Cracks,0,0,0
Fish Kill,0,0,0
Disease/Epidemic Outbreak,0,0,0
Easterlies and ITCZ,0,0,0
Easterlies,0,0,0
Collapsed Soil,0,0,0
Liquefaction,0,0,0
Lightning/Thunderstorm,0,0,0
Land Mass Displacement,0,0,0
LPA and SWM,0,0,0
Rockslide/ Rock Fall,0,0,0
Pest Infestation,0,0,0
Others,0,0,0
Moonsoon Trough,0,0,0
Maritime Incident (due to natural causes),0,0,0
Moonsoon Surge,0,0,0
Sinkhole,0,0,0
SWM and Localized Thunderstorm,0,0,0
TEFS and Northeast Monsoon,0,0,0
Storm Surge,0,0,0
Sea Swelling,0,0,0
Tornado,0,0,0
Trough of LPA and Easterlies,0,0,0
Wave Action,0,0,0
Wildfire/Bushfire/Forest Fire,0,0,0
Wind,0,0,0
